mensagem,sentiment_manual
Vaiiii Corinthians,1
"es war ein Elfmeter, mein Gott",1
"Vem de gol 1,5",2
200 escanteio e zero gols,2
vai Corinthians,1
Time bom pra atacar ,1
leipzig fez a boa,2
bora tô perdendo meu carro na virada,2
bagreface,0
vamo,2
vamos Leverkusen,2
"""VAMO VIRAR MEU BAYERN"" Palmas Tocantins",2
a pior pessoa que existi e quem aposta .,0
golaçoooooooo pqp,2
Time ridículo esse do borussia,1
"VAMOS BAYERN POR FAVOR, VENCE ESSE JOGO PELAMOOOUR DE DEUS ",2
Muito dinelo ,1
ganhou do Leverkusen com facilidade aí pega um time ruim não consegue ganha,0
bagre dms kkkkk,0
Saliba expulso,1
2.5 no jogo do vasco e flamengo hj ,1
aston não faz gol pqp ,2
volta logo neuer vsf urbig,1
Vini jr bagre na seleção! Wesley do Corinthians mt melhor.,2
schik é bagre...alonso nao quer mais fazer gol kkkkk,2
"Tão tufo cansado,so querem ir pra casa esses dai",1
"tava pagando 200 ja e n tirei, pqp",0
kim ta muito bem mesmo,1
o mppape é pipoqueiro qui Nei vc,0
meu time da pelada joga melhor,2
Time sem tradição é isso mesmo fraco ,0
vamosss,2
"saiu a tripla PSG Milan e Borussia, vamos.",2
vai moia meu bilhete ,1
boraaaa borussiaaaaaa mais ummmmm,2
Bayern Leverkusen tropeço muito em casa cotra times fraco quando o Bayern de Munique perdia ou empatava,0
Olha o gol que o cara me perde pqp kkkkkkkjjj,2
time ruim da pomba,0
vamooooo,2
pqp,0
A bola veio aqui no quintal ,1
"Depois de uma década não entregando nada de títulos, Watzke e Ricken ainda vão entregar o Dortmund sem competição européia. Diretoria JIM CARRY",1
Vamos ,2
Time nojento! Pqp ,0
pqp já vai ser gol ,2
pontaria 0,1
q hrs começa?,1
vai meu heidenhaim,1
"bora bayer, plmds",2
pontaria ruim,0
Hoje não é o dia do Bayer ,1
KKKKKKKKKLKKKKKKLLKLKLLL,1
bora,2
EU QUERO BOLAA DE NOVO,1
VASCO,1
Gool,1
"Peguei cash out na Atalanta e eles viraram, pqp",0
claramente foi pênalti,1
"VAMO GALERA, VAMO BAYER!!",2
"por isso Brasil não tem técnico que preste, os caras falando que o Kompany é fraco, parece que não saben a história do cara pra falarem asneira. preconceito com belga é foda kkk",0
"se der esse pênalti, vai ser milagre",1
kkkkkkkkkkkkkk,1
incrível o time do Frankfurt não ter marcado nenhum escanteio,1
vamooooo ,2
Se o bayer não fizer um gol fica ruim pa nois kkkk,2
GOLLL CARAÍIIIIII,2
Vamo ,2
Cuidado com as apostas. Viciam. Se libertem se der ruim. ,0
pqp,0
pqp,0
chute bonito,1
Borussia Dortmund toma 2-0 em casa hoje,1
Vamooooo,2
mais de 1.5 gols,2
bagre,0
Goleiro igual ao neneca ,2
Mais 3 cantos boraaaa,2
futebolo morreu nao tem uma jogada individual neese jogo,1
Preciso da vitória do Dortmund,1
FUTEBOL ALEMÃO SÓ PASSE PRA TRÁS: BRASIL 1 X 7 ALEMANHA...,1
"TEM Q CHUTAAAAAAAAAAA,CARA A CARA",1
time ruim do Crlh,0
ESSE TIME DO BAYERN É RUIM,0
pqp,0
bagreface,0
jogadores pra marcar gol hoje?? ,2
esse borussia é ruim,0
1 minuto de acréscimo,1
mau de mais esse cara ai,1
bagre kane ,0
"esse goleiro não passa confiança, quem vem assistindo os jogos do Leverkusen sabe.",2
gybagre não fez o goollll,0
VAMOOOOOOSSS,2
olha a qualidade do gramado pqp,0
no spotv e na rede tv os narradores falando os nomes dos jogadores td errado,1
GOOOOOOOOOOOOL,1
É MUITO GOL PERDIDO,2
VAMO PAULI,2
Bayer é o time da virada! Bayer é o time do amor!,2
vai kane usa esse pote de cearense pra fz alguma coisa,1
"@KiLLDELICIA o cara quase arrancou a perna do maluco,",1
Isso foi tão penalti quanto o do Cucurella na eurocopa. ,1
kk goleiro bom,2
"bora que bora , bayen",2
vitória do Bayer greennnnn,1
VASCOOOOOO,1
Hala Madrid y Nada Mas,1
pênalti mandacre o outro foi muito mais pênalti que este,1
Wirtz vai para o Bayern Munich,1
7x2 frankfurt,1
vou assistir jogo do barça,1
Dortmund inimigo da finalização,1
"borussia não esta sabendo aproveitar o yan couto, botando ele de terceiro zagueiro!!!",1
Vamooooo,2
VAMOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,2
como esse time ruim é vice lider?,0
Força Borussia Dortmund,1
gol do Brentfiat,2
Bora bayern,2
alguém negocie o Kenne por favor e devolva nosso Bayer de Munique,1
vamos Corinthians,2
 BAGRE,0
Analogia bem ruim !,0
vou torcer pro Vasco se campeão São Januário meu caldeirão,1
sane ruim,0
"Certeza, Xabi Alonso pipocou contra o Bayern, em não botar atacantes ",1
choque rei amanhã,1
vou perder nos escanteios do bayern pqp,0
"Flamengo Rafa, tecnico quer mostrar trabalho",1
Pqp ,0
GOOOOOOO DO COMO,1
Que ataque Ruim,0
vai Corinthians!!!!!,1
Esse Kim é horroroso mano pqp kkkkkkkkkkkkk,0
vem gool,1
pqpp,0
Jorge Jesus na seleção ! ,1
GALACO,1
gol do bagre,2
"Ficaram feios os jogos Europeus, sem qualidade. Muita marcação e correria.",1
o primeiro gool do Arsenal deu var,1
vamos city,2
"Juiz ruim, nunca marca nada",0
vitoria dos dois Bayer hj!,2
pqp bagre,0
o jogo acabou quando kane entrar em campo...,1
VAI EMPATAR,1
vamoooooooo,2
Tranquilidade é uma palavra que não faz parte do vocabulário do Borussia Dortmund,1
aeeeeee,1
pqp kkkkkkk,0
"Marcelinho carioca, Rogério ceni e Ronaldinho gaúcho",1
CORINTHIANS maior Br,1
o dortmund ta em qual posição na tabela? ,1
vamosss,2
esse time é pior q o bragantino,0
goleiro tirou a mão da bola que viagem,2
time ruim,0
preciso de mais 1 desarme do upamecano,1
"cacete bayern, pqp vamo porra",2
joga muito meu portuga,1
Bora bayern ,2
Gol do wolves no intervalo,2
vamoo,2
neverkusen vamos amassar o menor da Alemanha chike/chike/germany,2
bagre,0
pior atacante do brusque fazia esse gol,2
sim adeyami no banco,1
"bora LEIPZING , pra cima deles ",2
vamos,2
times lixos,0
"Vai, Yuri Alberto",1
gooollll,1
BAMOS BAYERN ESTOY CONTIGO,2
coloquei empate no primeiro tempo bora ,2
Hambúrguer perdeu ontem,1
"Vamo Bayern, é o dinheiro da pinga de hoje meu filho ",2
tottenham vai fuder nos,1
O que esse time é bom na bola aérea ,1
empatar nada,1
"flu tem que cair pra jogar uma semana contra o borussia e no domingo contra o avai, seria cinema",1
VAI LEVARA GORA,1
a bola chegou aqui,1
Pqp time ruim do carai,0
Bagrené de titular,0
"Gnabry é o pior jogador da história do Bayern, que maluco ruim, não agrega em nada, não dribla, não chuta, não cruza, não passa, nulo. Ele e o Sané são disparados os piores jogadores do time",0
ooooooooo o time do bayern é cocô...,1
Pqp ,0
"Matheus Pereira joga bola dms, convenhamos que deixou a desejar no segundo turno. Acredito que vingue ano que vem no cruzeiro ",2
time pipoqueiro vtnc,0
caraiii,1
esse MULLER é o Bagre mais esforçado do futebol mundial isso é inegável. ,0
vamos 1.5 tá doido,2
wirtz tá fazendo de propósito ksksksk,1
BAGREEEEEEE,0
gol do bologma,2
coe que maluco ruimmmmmm,0
vamo kane,2
Pqpp mn 1x0 não dá ,0
PQP,0
Gool do Milan ,1
empate esse jogo,1
vem virada do barca,1
PQP,0
